id symbol chr strand nprots ntrans SV WT WT_prots SV_prots min_skipped_exon max_skipped_exon min_skipped_bases max_skipped_bases
35703 ENSG00000145113 MUC4 3 - 17 17 195501177:195538607 195501177:195505174|195505327:195505661|195518369:195538607|195501177:195505160|195505327:195538607 ENSP00000417397|ENSP00000417657|ENSP00000419989|ENSP00000417498|ENSP00000417757|ENSP00000419798|ENSP00000420243|ENSP00000304207|ENSP00000417722|ENSP00000418306|ENSP00000420439 ENSP00000338109 1 2 153 12875
53126 ENSG00000145113 MUC4 3 - 17 22 195774306:195811736 195774306:195778303|195778456:195778790|195791498:195811736|195774306:195778289|195778456:195811736 ENSP00000417397|ENSP00000417657|ENSP00000419989|ENSP00000417498|ENSP00000417757|ENSP00000419798|ENSP00000420243|ENSP00000304207|ENSP00000417722|ENSP00000418306|ENSP00000420439 ENSP00000338109 1 2 153 12875
69087 ENSG00000145113 MUC4 3 - 17 22 195774306:195811736 195774306:195778303|195778456:195778790|195791498:195811736|195774306:195778289|195778456:195811736 ENSP00000417397|ENSP00000417657|ENSP00000419989|ENSP00000417498|ENSP00000417757|ENSP00000419798|ENSP00000420243|ENSP00000304207|ENSP00000417722|ENSP00000418306|ENSP00000420439 ENSP00000338109 1 2 153 12875
3612 ENSG00000145113.21 MUC4 chr3 - 17 22 195778456:195811736 195778456:195778790|195791498:195811736 ENSP00000417397.1|ENSP00000417498.3|ENSP00000420243.1|ENSP00000417722.1|ENSP00000418306.1|ENSP00000420439.1|ENSP00000419798.1|ENSP00000417757.1|ENSP00000417657.1|ENSP00000419989.1 ENSP00000304207.6 1 1 12708 12708
28749 ENSG00000145113 MUC4 3 - 18 0 195505327:195538607 195505327:195505661|195518369:195538607 ENSP00000420243|ENSP00000419798|ENSP00000417498|ENSP00000417757|ENSP00000417722|ENSP00000417397|ENSP00000420439|ENSP00000418306|ENSP00000419989|ENSP00000417657 ENSP00000304207 1 1 12708 12708
35702 ENSG00000145113 MUC4 3 - 17 17 195505327:195538607 195505327:195505661|195518369:195538607 ENSP00000417397|ENSP00000417657|ENSP00000419989|ENSP00000417498|ENSP00000417757|ENSP00000419798|ENSP00000420243|ENSP00000417722|ENSP00000418306|ENSP00000420439 ENSP00000304207 1 1 12708 12708
53125 ENSG00000145113 MUC4 3 - 17 22 195778456:195811736 195778456:195778790|195791498:195811736 ENSP00000417397|ENSP00000417657|ENSP00000419989|ENSP00000417498|ENSP00000417757|ENSP00000419798|ENSP00000420243|ENSP00000417722|ENSP00000418306|ENSP00000420439 ENSP00000304207 1 1 12708 12708
69086 ENSG00000145113 MUC4 3 - 17 22 195778456:195811736 195778456:195778790|195791498:195811736 ENSP00000417397|ENSP00000417657|ENSP00000419989|ENSP00000417498|ENSP00000417757|ENSP00000419798|ENSP00000420243|ENSP00000417722|ENSP00000418306|ENSP00000420439 ENSP00000304207 1 1 12708 12708
70078 ENSG00000164199 ADGRV1 5 + 16 37 90676210:90985344 90676210:90679549|90679630:90681315|90681455:90683586|90684196:90685780|90685996:90689861|90690077:90690797|90691042:90692605|90692787:90693890|90694702:90696937|90697147:90703665|90703796:90704389|90704489:90705400|90705580:90706231|90706395:90708816|90708910:90710981|90711060:90711184|90711323:90712287|90712429:90716467|90716730:90720048|90720224:90720935|90721060:90724832|90724990:90725086|90725233:90725549|90725657:90728669|90728934:90729642|90729765:90745046|90745266:90745591|90745796:90750551|90750698:90753574|90753830:90754983|90755186:90756454|90756631:90756979|90757162:90759409|90759589:90763305|90763470:90774186|90774304:90776453|90776577:90777905|90778044:90778427|90778610:90778865|90779098:90781430|90781579:90783124|90783326:90783838|90784058:90788071|90788311:90789702|90789852:90790873|90791347:90802739|90802883:90805284|90805459:90807602|90807738:90810233|90811339:90815619|90815737:90823425|90823597:90828944|90829187:90840578|90840986:90848637|90848822:90853284|90853534:90854062|90854202:90855741|90855902:90863757|90863858:90965415|90965532:90985344 ENSP00000384582 ENSP00000491057 59 59 12530 12530
8803 ENSG00000187240.13 DYNC2H1 chr11 + 5 9 103134420:103435943 103134420:103135495|103135635:103135720|103135949:103143268|103143396:103147772|103147888:103148490|103148618:103152136|103152286:103153303|103153509:103154451|103154607:103154695|103154810:103155331|103155502:103156388|103156771:103158677|103158810:103158910|103159028:103160932|103161045:103163028|103163148:103165898|103166049:103168755|103168961:103170108|103170291:103170886|103171069:103173082|103173306:103174055|103174171:103176235|103176435:103177556|103177821:103179026|103179234:103181757|103181887:103184896|103185052:103186242|103186502:103187340|103187587:103188497|103188649:103189672|103189817:103191517|103191620:103192097|103192265:103197933|103198064:103199228|103199477:103200046|103200155:103203663|103203777:103204822|103204965:103209876|103209961:103211789|103211944:103215721|103215859:103219915|103220029:103220623|103220784:103222030|103222154:103222965|103223087:103231260|103231347:103234034|103234161:103235672|103235814:103236430|103236540:103243693|103243792:103245251|103245375:103253285|103253449:103255415|103255535:103256106|103256241:103257608|103257752:103259888|103259978:103280348|103280414:103282179|103282230:103283008|103283086:103286255|103286387:103287533|103287606:103303093|103303254:103304595|103304721:103307721|103307832:103311878|103312034:103316545|103316621:103321029|103321238:103323886|103323991:103358243|103358360:103399663|103399873:103435943|103236540:103241527|103241548:103243693 ENSP00000364887.2|ENSP00000381167.3 ENSP00000334021.7 69 70 10161 10182
